x_max,signal,k,gamma,peak_omega,abs_gap,rel_gap
10000000,psi_norm,2,21.022039639,20.85808373783418,0.1639559011658207,0.007799238512596581
10000000,psi_norm,3,25.01085758,24.913822242413048,0.09703533758695215,0.003879728524964563
10000000,psi_norm,4,30.424876126,30.70773439181143,0.2828582658114307,0.00929694059032537
10000000,psi_norm,5,32.935061588,33.025299251570786,0.09023766357078244,0.002739866246482467
10000000,psi_norm,6,37.586178159,37.66042897108949,0.07425081208948825,0.0019754818320550345
10000000,psi_norm,7,40.918719012,41.13677626072852,0.2180572487285204,0.005329034094751891
10000000,psi_norm,8,43.327073281,43.45434112048787,0.12726783948787102,0.00293737448321212
10000000,psi_norm,9,48.005150881,48.08947084000658,0.08431995900657796,0.0017564773250186999
10000000,psi_norm,10,49.773832478,49.827644484826095,0.05381200682609233,0.0010811304685022435
50000000,theta_norm,1,14.134725141,14.126038547781546,0.008686593218454775,0.0006145569250057746
50000000,theta_norm,2,21.022039639,21.18905782167232,0.16701818267232227,0.007944908559798871
50000000,theta_norm,3,25.01085758,25.22506883532419,0.21421125532419083,0.008564730523094316
50000000,theta_norm,4,30.424876126,30.27008260238903,0.15479352361096943,0.00508772896789836
50000000,theta_norm,5,32.935061588,32.79258948592145,0.14247210207855687,0.0043258489648753855
50000000,theta_norm,6,37.586178159,37.837603252986284,0.25142509398628476,0.006689296605860979
50000000,theta_norm,7,40.918719012,40.864611513225185,0.0541074987748118,0.0013223165358364226
50000000,theta_norm,8,43.327073281,43.38711839675761,0.06004511575761029,0.0013858567221511722
50000000,theta_norm,9,48.005150881,47.92763078711596,0.07752009388403991,0.0016148286686194263
50000000,theta_norm,10,49.773832478,49.9456362939419,0.17180381594189953,0.003451689520147694
50000000,psi_norm,1,14.134725141,14.126038547781546,0.008686593218454775,0.0006145569250057746
50000000,psi_norm,2,21.022039639,21.18905782167232,0.16701818267232227,0.007944908559798871
50000000,psi_norm,3,25.01085758,25.22506883532419,0.21421125532419083,0.008564730523094316
50000000,psi_norm,4,30.424876126,30.27008260238903,0.15479352361096943,0.00508772896789836
50000000,psi_norm,5,32.935061588,32.79258948592145,0.14247210207855687,0.0043258489648753855
50000000,psi_norm,6,37.586178159,37.837603252986284,0.25142509398628476,0.006689296605860979
50000000,psi_norm,7,40.918719012,40.864611513225185,0.0541074987748118,0.0013223165358364226
50000000,psi_norm,8,43.327073281,43.38711839675761,0.06004511575761029,0.0013858567221511722
50000000,psi_norm,9,48.005150881,47.92763078711596,0.07752009388403991,0.0016148286686194263
50000000,psi_norm,10,49.773832478,49.9456362939419,0.17180381594189953,0.003451689520147694
100000000,theta_norm,1,14.134725141,14.337566270796401,0.20284112979640057,0.014350553532026446
100000000,theta_norm,2,21.022039639,21.028430530501385,0.0063908915013861645,0.00030400910716245675
100000000,theta_norm,3,25.01085758,24.851781536047095,0.1590760439529042,0.006360279468390152
100000000,theta_norm,4,30.424876126,30.586808044365654,0.1619319183656529,0.0053223525938129205
100000000,theta_norm,5,32.935061588,32.976402422831725,0.04134083483172191,0.0012552226362553568
100000000,theta_norm,6,37.586178159,37.755591179763854,0.16941302076385512,0.0045073223472519835
100000000,theta_norm,7,40.918719012,41.101023309616345,0.1823042976163478,0.004455278709064291
100000000,theta_norm,8,43.327073281,43.490617688082416,0.16354440708241924,0.0037746469977730426
100000000,theta_norm,9,48.005150881,47.79188756932134,0.2132633116786593,0.004442508934245783
100000000,theta_norm,10,49.773832478,49.70356307209419,0.07026940590581177,0.0014117740669632138
100000000,psi_norm,1,14.134725141,14.337566270796401,0.20284112979640057,0.014350553532026446
100000000,psi_norm,2,21.022039639,21.028430530501385,0.0063908915013861645,0.00030400910716245675
100000000,psi_norm,3,25.01085758,24.851781536047095,0.1590760439529042,0.006360279468390152
100000000,psi_norm,4,30.424876126,30.586808044365654,0.1619319183656529,0.0053223525938129205
100000000,psi_norm,5,32.935061588,32.976402422831725,0.04134083483172191,0.0012552226362553568
100000000,psi_norm,6,37.586178159,37.755591179763854,0.16941302076385512,0.0045073223472519835
100000000,psi_norm,7,40.918719012,41.101023309616345,0.1823042976163478,0.004455278709064291
100000000,psi_norm,8,43.327073281,43.490617688082416,0.16354440708241924,0.0037746469977730426
100000000,psi_norm,9,48.005150881,47.79188756932134,0.2132633116786593,0.004442508934245783
100000000,psi_norm,10,49.773832478,49.70356307209419,0.07026940590581177,0.0014117740669632138
300000000,theta_norm,1,14.134725141,14.114952586568881,0.01977255443111936,0.001398863736923044
