x,t,theta_norm,psi_norm
362308025,19.708005306418812,-1.3037368986943179,-0.2671407331866745
362349741,19.70812044143021,-1.3054188684509245,-0.2688823744228087
362391463,19.70823557644161,-1.307403087290022,-0.2709262630179933
362433189,19.70835071145301,-1.3209719360997092,-0.28403716452190503
362474921,19.70846584646441,-1.3700376043566407,-0.3331625260223899
362516656,19.708580981475812,-1.348854573133113,-0.31203918202458963
362558397,19.70869611648721,-1.313485114353949,-0.276729408743404
362600143,19.708811251498613,-1.355995165927493,-0.31929914265616843
362641893,19.70892638651001,-1.3645442881506713,-0.3279079426297884
362683648,19.709041521521414,-1.3505742878182476,-0.3139976168880694
362725408,19.709156656532812,-1.355482782321639,-0.31896578282169247
362767173,19.709271791544214,-1.3916844573867198,-0.3552271261557964
362808943,19.709386926555613,-1.431236056267728,-0.39483839014388417
362850717,19.709502061567015,-1.351991124965203,-0.315653119357711
362892496,19.709617196578414,-1.3578447166381356,-0.32156636838407704
362934280,19.709732331589816,-1.362912658108402,-0.3266939640441251
362976069,19.709847466601214,-1.3702986578602974,-0.33362235098456783
363017863,19.709962601612617,-1.3655197510166153,-0.3289031217781388
363059661,19.710077736624015,-1.3226648932460143,-0.2861079370498313
363101465,19.710192871635414,-1.3545914266803984,-0.3180941417861229
363143273,19.710308006646816,-1.353613400657953,-0.31717578246965505
363185086,19.710423141658215,-1.3135831356156884,-0.2772051809642365
363226903,19.710538276669617,-1.2489332453248987,-0.21261494961388674
363268726,19.710653411681015,-1.2714614753143143,-0.2352028367999404
363310553,19.710768546692417,-1.240410980457625,-0.2042119945425161
363352386,19.710883681703816,-1.272742806713514,-0.23660347165191659
363394222,19.710998816715218,-1.225597922923519,-0.18951823269153595
363436064,19.711113951726617,-1.2221857080361742,-0.1861656608865952
363477911,19.71122908673802,-1.2314299403349442,-0.1954695330940262
363519762,19.711344221749417,-1.2584453936526365,-0.2225446217210888
363561619,19.71145935676082,-1.290928641471781,-0.2550875030994726
363603480,19.711574491772218,-1.2863910560552718,-0.2506095466419508
363645346,19.71168962678362,-1.2593624779097392,-0.22312375713893592
363687216,19.71180476179502,-1.2924837210183506,-0.2563046511813141
363729092,19.71191989680642,-1.3052318416104467,-0.26911242095277665
363770972,19.71203503181782,-1.2530641543797099,-0.21700437829743296
363812857,19.712150166829222,-1.2755605530790304,-0.23904368925597988
363854747,19.71226530184062,-1.2693684097607698,-0.2329112138980319
363896642,19.712380436852023,-1.2572261168049872,-0.22082858571937647
363938542,19.71249557186342,-1.2876996784207455,-0.2513618089283534
363980446,19.71261070687482,-1.2966685200002261,-0.2603903074928859
364022356,19.712725841886222,-1.3193695892737798,-0.28263443508150626
364064270,19.71284097689762,-1.3030056756444213,-0.2663302018047541
364106189,19.712956111909023,-1.3178852597434443,-0.2807529201404342
364148113,19.71307124692042,-1.2627662968662778,-0.22569366097474985
364190041,19.713186381931823,-1.229542581549223,-0.1925296447545267
364231975,19.713301516943222,-1.245171718168654,-0.20821847870311372
364273913,19.713416651954624,-1.3240010290768887,-0.2871074823249045
364315856,19.713531786966023,-1.3142484394434626,-0.27689817147063706
364357804,19.713646921977425,-1.3161064114436298,-0.2788158595261264
364399757,19.713762056988823,-1.2872319318060432,-0.2500010927482381
364441714,19.713877192000226,-1.33600661654415,-0.2988354857267409
364483677,19.713992327011624,-1.3303493436689888,-0.29323791931811893
364525644,19.714107462023026,-1.369289073238253,-0.33223735073367544
364567616,19.714222597034425,-1.3630436569135769,-0.3260516330572864
364609593,19.714337732045827,-1.365307504496889,-0.3283751760901631
364651575,19.714452867057226,-1.3471723652999963,-0.3102997291433961
364693561,19.714568002068624,-1.3633027764488885,-0.326489827920774
364735553,19.714683137080026,-1.3745713700531532,-0.3378181073743843
364777549,19.714798272091425,-1.3942932423155119,-0.3575996608635089
364819550,19.714913407102827,-1.417358389736913,-0.3807244863098666
364861556,19.715028542114226,-1.441702053752133,-0.4051278251475193
364903567,19.715143677125628,-1.423977164567948,-0.3874626075825298
364945582,19.715258812137026,-1.4023225777464492,-0.365867687756263
364987603,19.71537394714843,-1.3778757142991085,-0.34148048951974896
365029628,19.715489082159827,-1.3907767808532991,-0.3544412166598681
365071658,19.71560421717123,-1.3667784454483614,-0.3305025386352616
365113693,19.715719352182628,-1.3564450158612407,-0.3202287632221638
365155733,19.71583448719403,-1.3391392907483555,-0.3029826890762817
365197777,19.71594962220543,-1.330285530208892,-0.294188574877549
365239827,19.71606475721683,-1.3712526817624129,-0.3352153709821479
365281881,19.71617989222823,-1.3670217426197684,-0.3310440717633793
365323940,19.71629502723963,-1.359945425379788,-0.3240273912379065
365366004,19.71641016225103,-1.3159851975798302,-0.28012679694237846
365408073,19.71652529726243,-1.2867184960195475,-0.25091972567574
365450147,19.71664043227383,-1.281425402454242,-0.24568625919258522
365492225,19.71675556728523,-1.2618907024875627,-0.22621118167902815
365534309,19.71687070229663,-1.2323463379369959,-0.19672643778574936
365576397,19.71698583730803,-1.1988768219218604,-0.16331653779794897
365618490,19.717100972319432,-1.200719059785272,-0.16470280541721444
365660588,19.71721610733083,-1.236836394931175,-0.20087977984212504
365702691,19.717331242342233,-1.256701527249434,-0.22080454822255055
365744798,19.71744637735363,-1.2303655962230158,-0.1945282486246871
365786911,19.717561512365034,-1.2136118980163806,-0.17783418004466617
365829028,19.717676647376432,-1.2217979397799081,-0.18607984680027728
365871150,19.717791782387835,-1.2590951866909015,-0.2234367154841856
365913277,19.717906917399233,-1.289421279372646,-0.25382242671897315
365955409,19.718022052410635,-1.3210233742419,-0.2854841369206964
365997546,19.718137187422034,-1.2869067277694688,-0.2514271025594579
366039687,19.718252322433436,-1.2870008963654003,-0.25158087863024964
366081834,19.718367457444835,-1.2389585995918853,-0.2035981875235153
366123985,19.718482592456237,-1.2158503707561705,-0.1805495597173354
366166141,19.718597727467635,-1.1795969842754237,-0.14435577104253208
366208302,19.718712862479038,-1.1899646508324102,-0.1547830321811711
366250468,19.718827997490436,-1.2026402521271409,-0.16751822483256443
366292639,19.718943132501835,-1.211441726321957,-0.176379287158354
366334814,19.719058267513237,-1.2224989001285724,-0.18698091656634003
366376995,19.719173402524635,-1.228704378395691,-0.1932460061654062
366419180,19.719288537536038,-1.2093515076036367,-0.17343766802007954
